summary,mask_perimeter,mask_area,mask_compactness,mask_convexity,mask_solidity,bending_energy,total_abs_curv,case
count,150,150,150,150,150,150,150,2
mean,819.6792983,50210.78,0.616987507,0.867735852,0.928422006,0.928157549,0.298492637,2
std,3917.638053,347890.5532,0.240538526,0.14770477,0.123840876,0.523483793,0.111674374,2
min,109.8994948,845,0.024544088,0.237538353,0.534916251,0.189107384,0.057328333,2
25%,133.8596497,1167.75,0.458455952,0.808742482,0.827711519,0.530981913,0.221769794,2
50%,180.8700572,1682,0.677122003,0.924351359,0.96664045,0.869687161,0.290123515,2
75%,316.2192994,3610,0.832821895,0.971944376,1.036360558,1.246497133,0.369419666,2
max,44054.07517,3790611,0.917960912,1,1.070535268,3.357225348,0.780884381,2
count,150,150,150,150,150,150,150,3
mean,663.8109854,14297.97333,0.415925837,0.763459295,0.821561452,1.033297072,0.332628937,3
std,791.1719825,33183.34313,0.173395176,0.126833639,0.099778748,0.396025621,0.080441783,3
min,212.3259009,2678,0.084274154,0.424404627,0.531443335,0.214647224,0.167162447,3
25%,293.3007746,3668.75,0.275861423,0.697226044,0.758006423,0.814499367,0.279967008,3
50%,405.1040754,5578,0.399835535,0.778074555,0.829637487,1.002180545,0.326111974,3
75%,716.1413943,12338,0.544380934,0.866862634,0.899322585,1.258298798,0.369568712,3
max,6094.660154,269694,0.780690321,0.944231228,0.995675156,2.770969149,0.664805532,3
count,150,150,150,150,150,150,150,4
mean,876.4060705,44268.70667,0.503635724,0.813386568,0.865450098,1.207503097,0.377441575,4
std,2297.371863,240980.3104,0.208741278,0.143845116,0.109215912,0.622854038,0.12348577,4
min,163.6984843,1820,0.046896425,0.312653876,0.558481184,0.262919789,0.157849631,4
25%,228.0017851,2598.75,0.361898412,0.743476092,0.792741543,0.81605741,0.292631998,4
50%,290.4766588,3638,0.528823318,0.871556104,0.882822517,1.125137779,0.360609611,4
75%,611.9967327,8718,0.659942038,0.918640852,0.949906271,1.514179898,0.426283477,4
max,23792.51276,2112567,0.880907088,0.976917805,1.026164312,3.669161183,0.87435912,4
count,150,150,150,150,150,150,150,5
mean,727.4932299,18042.84,0.493323565,0.805963616,0.85779523,1.135076876,0.357170544,5
std,2349.027483,100166.9615,0.196401499,0.141104209,0.105425889,0.544634937,0.111499756,5
min,172.1837655,1989,0.019578602,0.226438214,0.510771616,0.264970049,0.157079633,5
25%,235.8449309,2639,0.357078211,0.754035667,0.794868259,0.755441818,0.276986019,5
50%,311.9116874,4187,0.500376048,0.847245952,0.874719295,1.030113872,0.345067436,5
75%,495.4195687,8787.25,0.647715431,0.904269812,0.943279905,1.426626246,0.421187296,5
max,27865.42566,1209771,0.850269088,0.967201496,1.027184466,2.937926222,0.71863932,5
count,150,150,150,150,150,150,150,7
mean,2441.056497,55135.66,0.184588652,0.564923112,0.667397805,1.043045208,0.334085001,7
std,6726.484481,217057.8822,0.090320006,0.135222845,0.094913402,0.24492777,0.045565686,7
min,527.6812394,9408,0.005336525,0.110405437,0.386763046,0.405563388,0.232537625,7
25%,857.4777027,12373.5,0.129671327,0.493366748,0.613170045,0.886986054,0.30446917,7
50%,1144.868575,18596,0.183866099,0.586714446,0.67807317,1.006051949,0.328164172,7
75%,1714.307174,33781.5,0.236379157,0.657125687,0.722300921,1.195350159,0.357093709,7
max,77809.58705,2571076,0.462944843,0.837997689,0.867528205,1.881348049,0.489567535,7
count,150,150,150,150,150,150,150,9
mean,587.2536889,55557.73333,0.6869216,0.898246202,0.95627439,0.896495899,0.278989972,9
std,2512.715134,538200.9326,0.224263199,0.125716137,0.108202348,0.422013081,0.090930839,9
min,108.1421354,847,0.072567944,0.382954777,0.660710183,0.250595424,0.123627489,9
25%,121.7634557,1045.25,0.567965798,0.882233764,0.89019536,0.612154252,0.225375125,9
50%,166.4350286,1595,0.741812038,0.943908591,0.989855182,0.88738698,0.269005781,9
75%,261.2192994,3081,0.887336926,0.982020189,1.050295293,1.085310274,0.336419196,9
max,28646.15951,6571235,0.94054547,0.996393191,1.064070352,2.51378082,0.590524935,9
count,150,150,150,150,150,150,150,36
mean,719.6966474,28546.68,0.604747857,0.857808751,0.903645376,0.961065106,0.299833414,36
std,3262.054404,205177.3378,0.233005069,0.145817261,0.124878237,0.456941458,0.088777111,36
min,132.6274166,1256,0.020909499,0.200955999,0.479272786,0.263333743,0.122885427,36
25%,161.7591445,1603,0.431408898,0.798568533,0.828489056,0.639821002,0.23138237,36
50%,205.8406197,2138.5,0.670120477,0.918881075,0.943201533,0.926557846,0.285303252,36
75%,332.8363084,3817.25,0.799080592,0.959030113,1.008918512,1.233924263,0.356656578,36
max,35644.15183,2114026,0.912916107,0.98970469,1.044045677,2.983833889,0.657542648,36
count,150,150,150,150,150,150,150,37
mean,997.6860633,73006.59333,0.471117236,0.799288772,0.841766991,1.064950204,0.336601781,37
std,5229.419798,707879.4823,0.197768791,0.145248807,0.115432174,0.47616781,0.095787853,37
min,171.1126978,1819,0.02847818,0.244836538,0.399044192,0.208575273,0.135608316,37
25%,223.4411249,2277.25,0.330416458,0.72015096,0.760696275,0.746174126,0.270400675,37
50%,298.1335129,3371.5,0.477670411,0.851004081,0.858960625,1.00099368,0.324391929,37
75%,480.5954529,6692.75,0.62923046,0.904110209,0.935141346,1.30591886,0.377316753,37
max,61514.52905,8575467,0.812415906,0.969537425,1.017087478,3.421737848,0.83791719,37